;ticket;valor_intrinseco;desconto;preco_inicio;preco_fim;variacao_percentual
0;ABCB4;34.39;-31.290000000000003;23.63;23.63;0.0
1;AURE3;9.6;22.88;11.8;11.8;0.0
2;BRSR6;20.7;-27.589999999999996;14.99;14.99;0.0
3;BBSE3;61.25;-41.11;36.07;36.07;0.0
4;BRBI11;14.25;35.3;19.28;19.28;0.0
5;BBDC3;22.74;-31.919999999999998;15.48;15.48;0.0
6;BBDC4;25.01;-27.72;18.08;18.08;0.0
7;BRAP4;23.86;-16.18;20.0;20.0;0.0
8;BBAS3;25.0;-13.13;21.72;21.72;0.0
9;AGRO3;15.34;30.54;20.02;20.02;0.0
10;CXSE3;19.74;-17.79;16.23;16.23;0.0
11;CMIG4;25.72;-56.910000000000004;11.08;11.08;0.0
12;CSMG3;46.81;-7.71;43.2;43.2;0.0
13;CPFE3;23.43;126.71;53.11;53.11;0.0
14;CMIN3;5.45;-2.32;5.32;5.32;0.0
15;CURY3;43.19;-27.24;31.43;31.43;0.0
16;DIRR3;43.28;-68.05;13.83;13.83;0.0
17;EGIE3;21.88;41.32;30.92;30.92;0.0
18;EVEN3;6.03;25.990000000000002;7.6;7.6;0.0
19;FESA4;11.1;-37.84;6.9;6.9;0.0
20;FLRY3;16.54;-10.71;14.77;14.77;0.0
21;GOAU4;6.78;31.900000000000002;8.94;8.94;0.0
22;GRND3;20.61;-78.07;4.52;4.52;0.0
23;RANI3;12.45;-29.78;8.74;8.74;0.0
24;ISAE4;22.88;18.72;27.16;27.16;0.0
25;ITSA4;17.71;-34.57;11.59;11.59;0.0
26;ITUB3;49.48;-27.279999999999998;35.98;35.98;0.0
27;ITUB4;49.48;-21.25;38.96;38.96;0.0
28;JHSF3;3.24;143.19;7.87;7.87;0.0
29;KEPL3;8.26;18.12;9.76;9.76;0.0
30;KLBN11;26.04;-28.12;18.72;18.72;0.0
31;LAVV3;20.08;-21.62;15.74;15.74;0.0
32;POMO4;12.85;-53.23;6.01;6.01;0.0
33;MBRF3;23.48;-15.07;19.94;19.94;0.0
34;LEVE3;88.13;-61.0;34.37;34.37;0.0
35;ODPV3;16.34;-31.59;11.18;11.18;0.0
36;PGMN3;2.76;116.66000000000001;5.98;5.98;0.0
37;PETR3;51.39;-37.09;32.33;32.33;0.0
38;PETR4;51.43;-40.25;30.73;30.73;0.0
39;RECV3;12.89;-12.82;11.24;11.24;0.0
40;SAPR11;29.6;31.95;39.06;39.06;0.0
41;CSNA3;;;8.93;8.93;0.0
42;SYNE3;39.96;-87.36;5.05;5.05;0.0
43;TAEE11;26.88;54.36;41.49;41.49;0.0
44;TGMA3;52.0;-29.81;36.5;36.5;0.0
45;TIMS3;26.87;-19.46;21.64;21.64;0.0
46;UNIP6;56.05;5.62;59.2;59.2;0.0
47;VALE3;52.92;36.29;72.12;72.12;0.0
48;VLID3;16.89;26.200000000000003;21.31;21.31;0.0
49;VULC3;56.17;-64.57000000000001;19.9;19.9;0.0
