;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,05%;3,27%;3,28%;5,32%;2,40%;4,21%;4,27%;6,53%;6,02%
Div;2.9;2.82;2.8;;2.71;2.62;2.54;2.52;2.52
P/L;40.21;54.54;-33.89;6.59;18.87;15.91;7.77;9.34;15.68
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-130,40;-12,26;-14,95;99,66;39,29;8,94;7,23;6,63;8,87
EV/EBITDA;30,30;21,70;68,46;-;15,08;10,96;8,27;6,22;8,17
EV/EBIT;34,45;29,07;-123,46;-;19,09;14,16;11,07;8,47;14,07
P/EBITDA;28,33;17,55;54,33;-;13,13;9,51;7,31;4,90;6,78
P/EBIT;32,21;23,52;-97,97;5,56;16,62;12,29;9,79;6,68;11,67
VPA;-2,12;-7,04;-5,71;-;2,88;6,96;8,23;5,82;4,71
P/Ativo;7,36;2,36;2,37;1,21;2,86;1,79;1,76;1,17;1,31
LPA;6.88;1.58;-2.52;;5.99;3.91;7.66;4.13;2.67
P/SR;6,49;2,79;2,43;0,93;2,32;1,52;1,50;0,99;1,12
P/Cap. Giro;58,78;78,42;57,28;22,73;28,90;11,47;7,34;9,86;5,01
P/Ativo Circ. Liq.;-13,52;-4,15;-3,85;-2,21;-5,06;-3,32;-3,46;-2,17;-2,86
Dív. líquida/PL;-;-;-;-;5,84;1,36;0,94;1,78;1,82
Dív. líquida/EBITDA;1,97;4,15;14,14;-;1,95;1,45;0,95;1,32;1,39
Dív. líquida/EBIT;2,24;5,55;-25,49;-;2,47;1,87;1,27;1,79;2,39
PL/Ativos;-0,06;-0,19;-0,16;-;0,07;0,20;0,24;0,18;0,15
Passivos/Ativos;1,06;1,19;1,16;-;0,93;0,80;0,76;0,82;0,85
Liq. corrente;1,38;1,08;1,12;-;1,29;1,51;1,95;1,35;1,92
M. Bruta;35,18%;23,45%;18,30%;-%;27,31%;27,04%;28,22%;30,08%;29,47%
M. EBITDA;22,92%;15,89%;4,47%;-%;17,69%;15,98%;20,57%;20,14%;16,58%
M. EBIT;20,16%;11,86%;-2,48%;-%;13,97%;12,37%;15,36%;14,79%;9,63%
M. Líquida;16,15%;5,11%;-7,16%;-%;12,30%;9,55%;19,36%;10,57%;7,17%
ROE;-324,28%;-22,47%;-44,12%;-%;208,24%;56,18%;93,06%;70,99%;56,60%
ROA;18,31%;4,33%;-7,00%;-%;15,15%;11,24%;22,64%;12,56%;8,33%
ROIC;39,41%;15,95%;-5,08%;-%;26,39%;21,40%;14,90%;21,87%;15,57%
Giro ativos;1,13;0,85;0,98;-;1,23;1,18;1,17;1,19;1,16
CAGR Receitas 5 anos;-8,81%;-7,97%;1,60%;-%;-5,22%;-5,41%;-4,86%;-6,33%;0,34%
CAGR Lucros 5 anos;-30,13%;-%;16,39%;-%;-10,44%;5,09%;-8,45%;-23,05%;-13,46%
